epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1687,1.92639,2.48995,1.61421,0.19253,0.55136,0.27618,0.11407,1.87538,3.23346,1.77038,0.000544981,0.000544981,0.000544981
2,210.383,1.77057,1.64398,1.47806,0.5017,0.26586,0.22589,0.09537,1.89302,1.95618,1.74156,0.00108975,0.00108975,0.00108975
3,314.491,1.76709,1.49086,1.48977,0.55792,0.30816,0.28212,0.11751,1.99966,2.49365,1.89298,0.00162352,0.00162352,0.00162352
4,414.141,1.78814,1.39096,1.50797,0.32669,0.24773,0.19245,0.07222,2.02774,2.91594,1.90442,0.00161749,0.00161749,0.00161749
5,551.403,1.7462,1.30836,1.48883,0.52363,0.19184,0.17054,0.0752,1.949,1.69699,1.92475,0.00160099,0.00160099,0.00160099
6,695.676,1.72769,1.27059,1.46799,0.61671,0.19687,0.18561,0.08547,1.92789,1.60604,1.87324,0.00158448,0.00158448,0.00158448
7,837.799,1.71032,1.18619,1.46945,0.62795,0.18882,0.1697,0.0789,1.87382,1.56142,1.81405,0.00156798,0.00156798,0.00156798
8,981.682,1.71156,1.20701,1.46803,0.54845,0.19486,0.17777,0.08191,1.83753,1.41821,1.74826,0.00155148,0.00155148,0.00155148
9,1142.66,1.71757,1.19035,1.46125,0.58199,0.20393,0.1917,0.08807,1.84453,1.32607,1.73126,0.00153497,0.00153497,0.00153497
10,1297.27,1.69834,1.17371,1.47353,0.47769,0.1435,0.11574,0.05443,1.85531,1.76972,1.78603,0.00151847,0.00151847,0.00151847
11,1450.82,1.69177,1.1786,1.46141,0.58699,0.16961,0.13985,0.06414,1.85087,1.43829,1.77804,0.00150197,0.00150197,0.00150197
12,1611.62,1.6677,1.14146,1.45114,0.55187,0.18882,0.17465,0.08275,1.84459,1.30931,1.79341,0.00148546,0.00148546,0.00148546
13,1767.13,1.64702,1.12961,1.44634,0.53093,0.19486,0.16741,0.07606,1.86924,1.36865,1.84549,0.00146896,0.00146896,0.00146896
14,1932.89,1.67706,1.13258,1.46669,0.56798,0.22839,0.21455,0.10074,1.85457,1.27368,1.82762,0.00145246,0.00145246,0.00145246
15,2098.42,1.67223,1.12151,1.45501,0.61385,0.23053,0.23706,0.10215,1.95855,1.26548,1.89826,0.00143595,0.00143595,0.00143595
16,2259.78,1.65312,1.12688,1.44911,0.6703,0.28399,0.271,0.13435,1.85477,1.23098,1.8396,0.00141945,0.00141945,0.00141945
17,2435.4,1.62793,1.07818,1.43385,0.62644,0.35952,0.34317,0.15744,1.84378,1.19042,1.79164,0.00140295,0.00140295,0.00140295
18,2600.54,1.64036,1.11255,1.44516,0.65631,0.43807,0.42617,0.20024,1.83491,1.21659,1.75293,0.00138644,0.00138644,0.00138644
19,2780.48,1.62763,1.09737,1.42776,0.69405,0.429,0.4265,0.20942,1.8472,1.14467,1.80674,0.00136994,0.00136994,0.00136994
20,2952.37,1.6156,1.08349,1.44567,0.68954,0.58157,0.59049,0.27097,1.8864,1.32378,1.84408,0.00135344,0.00135344,0.00135344
21,3113.51,1.63985,1.07548,1.44196,0.73362,0.61178,0.65006,0.32966,1.83442,1.17986,1.79832,0.00133693,0.00133693,0.00133693
22,3269.75,1.60992,1.07901,1.42837,0.73479,0.69637,0.72748,0.35537,1.85116,1.1463,1.82544,0.00132043,0.00132043,0.00132043
23,3436.1,1.60854,1.07708,1.43068,0.73628,0.64946,0.70092,0.32474,1.88901,1.30305,1.8637,0.00130393,0.00130393,0.00130393
24,3617.4,1.59453,1.02719,1.41169,0.74027,0.64581,0.6826,0.3112,1.89613,1.23418,1.83764,0.00128742,0.00128742,0.00128742
25,3802.38,1.61193,1.05735,1.42421,0.75769,0.64502,0.69736,0.33553,1.84847,1.18338,1.79614,0.00127092,0.00127092,0.00127092
26,3996.37,1.58015,1.03648,1.4011,0.67029,0.67221,0.67529,0.32138,1.8495,1.31026,1.83164,0.00125442,0.00125442,0.00125442
27,4172.62,1.58793,1.08237,1.41459,0.745,0.66199,0.71498,0.34287,1.84654,1.17132,1.82658,0.00123791,0.00123791,0.00123791
28,4342.73,1.57142,1.05713,1.41073,0.72303,0.65064,0.7034,0.30999,1.94256,1.15365,1.86049,0.00122141,0.00122141,0.00122141
29,4516.38,1.59177,1.02489,1.40725,0.72696,0.67372,0.69844,0.34418,1.81228,1.19563,1.80177,0.00120491,0.00120491,0.00120491
30,4679.78,1.57852,1.03678,1.4144,0.74648,0.66163,0.71345,0.31937,1.87076,1.19455,1.83163,0.0011884,0.0011884,0.0011884
31,4849.8,1.57271,1.05361,1.40335,0.7519,0.66767,0.72688,0.35551,1.8191,1.12024,1.78177,0.0011719,0.0011719,0.0011719
32,5014.27,1.57,1.03103,1.40631,0.78786,0.66465,0.7372,0.36398,1.80603,1.11281,1.79677,0.0011554,0.0011554,0.0011554
33,5179.8,1.56722,1.05391,1.41203,0.71322,0.69033,0.72183,0.35433,1.83164,1.24395,1.82064,0.00113889,0.00113889,0.00113889
34,5340.77,1.57518,1.02203,1.40967,0.74789,0.64955,0.71828,0.33852,1.85026,1.17764,1.83262,0.00112239,0.00112239,0.00112239
35,5507.07,1.58021,1.05919,1.42503,0.71827,0.68278,0.71459,0.35866,1.78529,1.22248,1.77626,0.00110589,0.00110589,0.00110589
36,5669.3,1.54077,1.00774,1.39066,0.73634,0.66656,0.72283,0.33951,1.86802,1.18526,1.84869,0.00108938,0.00108938,0.00108938
37,5808.64,1.54926,1.00741,1.38628,0.71995,0.65408,0.70491,0.33347,1.87204,1.2709,1.87055,0.00107288,0.00107288,0.00107288
38,5951.88,1.53512,0.98179,1.37452,0.72341,0.67069,0.70444,0.32325,1.89001,1.15943,1.88293,0.00105638,0.00105638,0.00105638
39,6096.1,1.54918,1.00479,1.39069,0.76623,0.6435,0.71712,0.33886,1.85757,1.17764,1.82439,0.00103987,0.00103987,0.00103987
40,6230.33,1.53169,0.98969,1.37783,0.76456,0.6524,0.70658,0.32609,1.91646,1.12773,1.89009,0.00102337,0.00102337,0.00102337
41,6375.73,1.54848,1.02225,1.38889,0.77226,0.67372,0.73729,0.35684,1.81879,1.15002,1.79808,0.00100687,0.00100687,0.00100687
42,6524.76,1.52861,1.01281,1.38493,0.78524,0.65725,0.73163,0.34916,1.81531,1.08045,1.79718,0.000990365,0.000990365,0.000990365
43,6674.49,1.51918,1.00769,1.37769,0.76197,0.68731,0.74947,0.38227,1.77231,1.06231,1.75661,0.000973861,0.000973861,0.000973861
44,6825.03,1.54394,0.98116,1.38252,0.69833,0.70393,0.70208,0.34669,1.79452,1.31473,1.7904,0.000957358,0.000957358,0.000957358
45,6960.33,1.52975,0.97525,1.38383,0.70054,0.72794,0.73536,0.36499,1.80322,1.08925,1.80199,0.000940855,0.000940855,0.000940855
46,7109.96,1.5533,1.0063,1.39754,0.73077,0.68882,0.73403,0.37826,1.74584,1.11137,1.7454,0.000924352,0.000924352,0.000924352
47,7244.3,1.48892,0.9623,1.35894,0.69199,0.69232,0.6983,0.34499,1.82069,1.24052,1.80756,0.000907848,0.000907848,0.000907848
48,7372.95,1.51409,0.97101,1.37451,0.72735,0.68278,0.71634,0.3408,1.87129,1.10408,1.87322,0.000891345,0.000891345,0.000891345
49,7512.3,1.52632,0.98212,1.37906,0.72384,0.67221,0.72488,0.3633,1.8025,1.18808,1.79073,0.000874842,0.000874842,0.000874842
50,7657.43,1.51038,0.95974,1.35813,0.74444,0.66443,0.72791,0.33838,1.88024,1.12701,1.86885,0.000858338,0.000858338,0.000858338
51,7789.91,1.51503,0.98603,1.38373,0.72214,0.69335,0.72112,0.35926,1.79882,1.11329,1.81244,0.000841835,0.000841835,0.000841835
52,7920.96,1.50945,0.96472,1.3761,0.72179,0.68429,0.71539,0.36458,1.77303,1.10915,1.76202,0.000825332,0.000825332,0.000825332
53,8074.31,1.50476,0.9641,1.36726,0.7526,0.65861,0.72872,0.36807,1.76596,1.10712,1.74487,0.000808828,0.000808828,0.000808828
54,8193.66,1.49179,0.96084,1.3624,0.72697,0.67523,0.71878,0.35101,1.827,1.12387,1.83425,0.000792325,0.000792325,0.000792325
55,8327.74,1.48278,0.94996,1.35209,0.7599,0.69335,0.74217,0.37848,1.77111,1.06626,1.76885,0.000775822,0.000775822,0.000775822
56,8461.62,1.49622,0.94954,1.35924,0.70736,0.70846,0.71296,0.35398,1.82723,1.09879,1.82046,0.000759318,0.000759318,0.000759318
57,8594.13,1.48231,0.94807,1.35776,0.73238,0.69862,0.7442,0.37742,1.7718,1.13885,1.76791,0.000742815,0.000742815,0.000742815
58,8729.91,1.47983,0.96366,1.35619,0.74605,0.66124,0.73129,0.36741,1.78072,1.13641,1.7889,0.000726312,0.000726312,0.000726312
59,8865.68,1.47187,0.93201,1.34867,0.70373,0.66021,0.69741,0.34139,1.83053,1.14801,1.83814,0.000709809,0.000709809,0.000709809
60,9014.1,1.47805,0.9328,1.3395,0.7174,0.68882,0.72663,0.35173,1.83967,1.09651,1.84952,0.000693305,0.000693305,0.000693305
61,9158.9,1.47552,0.93016,1.35209,0.69478,0.6858,0.71068,0.34213,1.85458,1.18876,1.86801,0.000676802,0.000676802,0.000676802
62,9286.92,1.47249,0.93472,1.34178,0.68847,0.70772,0.73168,0.35317,1.83706,1.14071,1.84355,0.000660299,0.000660299,0.000660299
63,9413.85,1.45083,0.93094,1.34082,0.74561,0.67825,0.73445,0.36962,1.79693,1.04061,1.7991,0.000643795,0.000643795,0.000643795
64,9544.9,1.45343,0.90295,1.34018,0.72298,0.6858,0.72592,0.35228,1.85835,1.08594,1.86661,0.000627292,0.000627292,0.000627292
65,9666.56,1.45303,0.91712,1.33692,0.73237,0.67372,0.7244,0.34586,1.88835,1.09588,1.87835,0.000610789,0.000610789,0.000610789
